日期,开盘价,最高价,最低价,收盘价,成交量,成交额,日收益率,换手率,数据源,20日成交量活跃度代理,date,amount_100m,market_amount_100m,amount_share_of_a
2026-04-29,1335.6760000000,1350.3400000000,1329.7670000000,1345.7530000000,4336732000,84815634000.0000000000,0.0030992960,,同花顺概念指数历史,0.8050998215,2026-04-29,848.1563400000,25718.9356675900,0.0329778942
2026-04-30,1343.9190000000,1358.5880000000,1339.5220000000,1346.9910000000,3998292700,76506389000.0000000000,0.0009199311,,同花顺概念指数历史,0.7556193252,2026-04-30,765.0638900000,27174.6976009500,0.0281535383
2026-05-06,1347.6690000000,1356.1830000000,1347.4410000000,1352.8280000000,4264564600,83059270000.0000000000,0.0043333623,,同花顺概念指数历史,0.8279428878,2026-05-06,830.5927000000,32011.8041551300,0.0259464508
2026-05-07,1353.7460000000,1358.5390000000,1347.6700000000,1354.5940000000,3813565900,73846607000.0000000000,0.0013054135,,同花顺概念指数历史,0.7604044476,2026-05-07,738.4660700000,31177.5446754400,0.0236858315
2026-05-08,1355.6960000000,1358.3300000000,1349.3650000000,1354.5720000000,3856626800,72496205000.0000000000,-0.0000162410,,同花顺概念指数历史,0.7888202735,2026-05-08,724.9620500000,30182.7291460400,0.0240191020
2026-05-11,1354.8490000000,1379.2690000000,1345.5990000000,1376.7460000000,5780434100,106434156000.0000000000,0.0163697463,,同花顺概念指数历史,1.1922254542,2026-05-11,1064.3415600000,35033.7332171700,0.0303804780
2026-05-12,1371.3390000000,1371.3390000000,1352.2030000000,1356.7620000000,5137499600,103909918000.0000000000,-0.0145153863,,同花顺概念指数历史,1.0739874574,2026-05-12,1039.0991800000,32135.7925070900,0.0323346368
2026-05-13,1356.1260000000,1357.1140000000,1342.8210000000,1350.9380000000,4338551800,83226696000.0000000000,-0.0042925731,,同花顺概念指数历史,0.9209959991,2026-05-13,832.2669600000,32106.7768739800,0.0259218471
2026-05-14,1349.9920000000,1353.2840000000,1324.3200000000,1324.3200000000,4302248000,81039340000.0000000000,-0.0197033469,,同花顺概念指数历史,0.9160575889,2026-05-14,810.3934000000,33339.1573398900,0.0243075550
2026-05-15,1322.9200000000,1329.8960000000,1305.5920000000,1312.8810000000,3706445900,72533035000.0000000000,-0.0086376404,,同花顺概念指数历史,0.7967216351,2026-05-15,725.3303500000,33122.1453853300,0.0218986524
2026-05-18,1308.9040000000,1308.9040000000,1289.6340000000,1297.1700000000,3429745700,63986808000.0000000000,-0.0119668119,,同花顺概念指数历史,0.7712362498,2026-05-18,639.8680800000,28667.9769536300,0.0223199593
2026-05-19,1297.1160000000,1309.8390000000,1290.6970000000,1305.0110000000,3031830700,58086976000.0000000000,0.0060446973,,同花顺概念指数历史,0.7104543125,2026-05-19,580.8697600000,28650.5843284900,0.0202742727
2026-05-20,1301.4940000000,1302.9090000000,1283.4350000000,1294.0590000000,3519391300,62809967000.0000000000,-0.0083922664,,同花顺概念指数历史,0.8424792846,2026-05-20,628.0996700000,29273.7163934100,0.0214560960
2026-05-21,1294.9290000000,1313.3020000000,1276.4600000000,1277.3010000000,3983285000,82542370000.0000000000,-0.0129499505,,同花顺概念指数历史,0.9608237517,2026-05-21,825.4237000000,34536.2443739200,0.0239002160
2026-05-22,1282.3460000000,1284.0640000000,1264.3820000000,1275.6430000000,3253716800,65337197000.0000000000,-0.0012980496,,同花顺概念指数历史,0.7929153896,2026-05-22,653.3719700000,28757.3694842900,0.0227201577
2026-05-25,1276.4140000000,1280.3650000000,1253.1740000000,1264.2200000000,3480683500,63176047000.0000000000,-0.0089546997,,同花顺概念指数历史,0.8528307325,2026-05-25,631.7604700000,31856.2297352500,0.0198316146
2026-05-26,1261.3910000000,1261.3910000000,1237.9350000000,1249.6440000000,3346794900,60310869000.0000000000,-0.0115296388,,同花顺概念指数历史,0.8295298102,2026-05-26,603.1086900000,32197.9158879000,0.0187312959
2026-05-27,1248.6890000000,1248.6890000000,1225.2790000000,1237.4300000000,3552867000,64967012000.0000000000,-0.0097739836,,同花顺概念指数历史,0.8863025260,2026-05-27,649.6701200000,32061.0190415500,0.0202635518
2026-05-28,1235.9960000000,1237.6380000000,1212.8580000000,1227.2100000000,3117332800,59012349000.0000000000,-0.0082590530,,同花顺概念指数历史,0.7905304863,2026-05-28,590.1234900000,29470.0341759300,0.0200245268
2026-05-29,1230.2920000000,1245.8100000000,1219.8580000000,1231.0820000000,4049045800,80473801000.0000000000,0.0031551242,,同花顺概念指数历史,1.0342435877,2026-05-29,804.7380100000,32974.8671329500,0.0244045869
2026-06-01,1230.5160000000,1245.0300000000,1228.8310000000,1235.3510000000,3542937900,71703673000.0000000000,0.0034676813,,同花顺概念指数历史,0.9142374173,2026-06-01,717.0367300000,28580.1561374500,0.0250886219
2026-06-02,1233.6250000000,1233.9460000000,1206.8860000000,1212.6210000000,3183804300,58393105000.0000000000,-0.0183996289,,同花顺概念指数历史,0.8302900836,2026-06-02,583.9310500000,27729.1405569400,0.0210583898
2026-06-03,1210.4210000000,1210.4210000000,1192.3390000000,1198.2170000000,3257745100,56900765000.0000000000,-0.0118784022,,同花顺概念指数历史,0.8608745048,2026-06-03,569.0076500000,31067.7152168000,0.0183150787
2026-06-04,1194.8750000000,1197.8840000000,1172.3680000000,1178.8460000000,2896322000,50326704000.0000000000,-0.0161665208,,同花顺概念指数历史,0.7747562508,2026-06-04,503.2670400000,27381.9643582000,0.0183795083
2026-06-05,1186.6210000000,1193.5660000000,1177.1110000000,1181.2440000000,3282459700,57996379000.0000000000,0.0020341928,,同花顺概念指数历史,0.8848418104,2026-06-05,579.9637900000,30481.6066870800,0.0190266804
